State,SETTLEMENTDATE,TOTALDEMAND,RRP,Precipitation,AirTemp,Humidity,WindSpeed
SA1,2000-01-04 05:00:00,998.73,11.63,0.0,12.8,59.0,13.0
SA1,2000-01-04 05:30:00,1017.98167,13.46,0.0,12.5,60.0,11.2
SA1,2000-01-04 06:00:00,1046.47667,13.83,0.0,12.5,60.0,13.0
SA1,2000-01-04 06:30:00,1094.39167,14.93,0.0,12.5,61.0,13.0
SA1,2000-01-04 07:00:00,1176.255,15.75,0.0,12.9,59.0,13.0
SA1,2000-01-04 07:30:00,1239.24167,16.39,0.0,13.9,55.0,16.6
SA1,2000-01-04 08:00:00,1270.27667,20.75,0.0,14.9,51.0,16.6
SA1,2000-01-04 08:30:00,1280.835,25.9,0.0,15.3,52.0,20.5
SA1,2000-01-04 09:00:00,1305.31333,34.46,0.0,16.2,45.0,24.1
SA1,2000-01-04 09:30:00,1309.75833,33.05,0.0,17.4,42.0,24.1
SA1,2000-01-04 10:00:00,1318.175,33.05,0.0,17.7,39.0,27.7
SA1,2000-01-04 10:30:00,1327.84,34.46,0.0,18.1,37.0,20.5
SA1,2000-01-04 11:00:00,1332.275,34.46,0.0,17.9,41.0,20.5
SA1,2000-01-04 11:30:00,1341.165,41.42,0.0,18.4,34.0,22.3
SA1,2000-01-04 12:00:00,1336.735,41.42,0.0,18.4,36.0,20.5
SA1,2000-01-04 12:30:00,1340.97833,41.42,0.0,18.8,34.0,27.7
SA1,2000-01-04 13:00:00,1364.16,41.42,0.0,20.0,35.0,20.5
SA1,2000-01-04 13:30:00,1359.67,51.17,0.0,20.0,32.0,20.5
SA1,2000-01-04 14:00:00,1370.27333,51.17,0.0,19.6,34.0,24.1
SA1,2000-01-04 14:30:00,1364.04333,51.17,0.0,20.0,35.0,22.3
SA1,2000-01-04 15:00:00,1365.42167,51.17,0.0,19.5,36.0,24.1
SA1,2000-01-04 15:30:00,1349.71,54.16,0.0,19.7,32.0,22.3
SA1,2000-01-04 16:00:00,1346.575,54.16,0.0,20.3,33.0,24.1
SA1,2000-01-04 16:30:00,1347.08167,54.16,0.0,19.3,35.0,25.9
SA1,2000-01-04 17:00:00,1337.99,54.16,0.0,19.0,38.0,25.9
SA1,2000-01-04 17:30:00,1323.08667,39.51,0.0,18.1,39.0,24.1
SA1,2000-01-04 18:00:00,1284.385,32.29,0.0,18.4,37.0,22.3
SA1,2000-01-04 18:30:00,1248.27833,16.28,0.0,17.3,38.0,22.3
SA1,2000-01-04 19:00:00,1227.55,16.28,0.0,17.2,40.0,22.3
SA1,2000-01-04 19:30:00,1200.10167,16.31,0.0,15.5,42.0,22.3
SA1,2000-01-04 20:00:00,1201.75667,16.49,0.0,15.2,45.0,20.5
SA1,2000-01-04 20:30:00,1235.20667,19.33,0.0,14.6,48.0,20.5
SA1,2000-01-04 21:00:00,1259.8,17.15,0.0,14.6,50.0,14.8
SA1,2000-01-04 21:30:00,1268.83833,27.24,0.0,14.3,52.0,18.4
SA1,2000-01-04 22:00:00,1251.32333,20.03,0.0,14.3,54.0,16.6
SA1,2000-01-04 22:30:00,1219.26,17.53,0.0,13.7,55.0,16.6
SA1,2000-01-04 23:00:00,1236.65167,18.0,0.0,13.4,57.0,14.8
SA1,2000-01-04 23:30:00,1267.41,34.69,0.0,13.0,60.0,9.4
SA1,2000-01-05 00:00:00,1346.69,39.51,0.0,13.3,59.0,11.2
SA1,2000-01-05 00:30:00,1354.00667,41.42,0.0,13.3,59.0,11.2
SA1,2000-01-05 01:00:00,1385.88167,41.43,0.0,13.7,58.0,13.0
SA1,2000-01-05 01:30:00,1303.22333,30.38,0.0,13.4,56.0,14.8
SA1,2000-01-05 02:00:00,1216.97333,25.74,0.0,13.2,55.0,13.0
SA1,2000-01-05 02:30:00,1127.88833,16.27,0.0,12.9,57.0,13.0
SA1,2000-01-05 03:00:00,1077.74,15.4,0.0,12.6,58.0,11.2
SA1,2000-01-05 03:30:00,1050.83,14.75,0.0,12.4,58.0,9.4
SA1,2000-01-05 04:00:00,1036.04333,14.1,0.0,12.5,57.0,9.4
SA1,2000-01-05 04:30:00,1019.99,14.39,0.0,12.7,60.0,7.6
SA1,2000-01-05 05:00:00,1029.84167,14.56,0.0,13.0,57.0,11.2
SA1,2000-01-05 05:30:00,1040.21833,14.93,0.0,12.9,58.0,9.4
SA1,2000-01-05 06:00:00,1085.235,15.93,0.0,13.0,56.0,9.4
SA1,2000-01-05 06:30:00,1118.23333,19.43,0.0,13.2,55.0,7.6
SA1,2000-01-05 07:00:00,1191.47,19.39,0.0,13.4,58.0,11.2
SA1,2000-01-05 07:30:00,1247.185,20.47,0.0,13.9,50.0,13.0
SA1,2000-01-05 08:00:00,1263.11333,17.65,0.0,14.2,50.0,9.4
SA1,2000-01-05 08:30:00,1282.07333,30.71,0.0,14.7,48.0,20.5
SA1,2000-01-05 09:00:00,1304.68167,33.06,0.0,15.2,47.0,18.4
SA1,2000-01-05 09:30:00,1298.465,25.27,0.0,15.8,44.0,20.5
SA1,2000-01-05 10:00:00,1304.36,34.78,0.0,16.2,43.0,18.4
SA1,2000-01-05 10:30:00,1302.03,16.73,0.0,16.3,42.0,22.3
SA1,2000-01-05 11:00:00,1315.43833,23.77,0.0,16.9,42.0,16.6
SA1,2000-01-05 11:30:00,1322.69,23.0,0.0,17.0,41.0,22.3
SA1,2000-01-05 12:00:00,1306.38333,16.6,0.0,18.5,39.0,20.5
SA1,2000-01-05 12:30:00,1322.35333,36.51,0.0,18.9,38.0,18.4
SA1,2000-01-05 13:00:00,1357.03,39.85,0.0,19.9,35.0,20.5
SA1,2000-01-05 13:30:00,1366.68833,51.16,0.0,20.0,34.0,22.3
SA1,2000-01-05 14:00:00,1381.875,51.17,0.0,20.7,38.0,22.3
SA1,2000-01-05 14:30:00,1378.85,51.17,0.0,20.3,35.0,18.4
SA1,2000-01-05 15:00:00,1375.47,51.17,0.0,20.9,35.0,20.5
SA1,2000-01-05 15:30:00,1357.955,54.16,0.0,20.8,37.0,22.3
SA1,2000-01-05 16:00:00,1362.35333,54.16,0.0,21.2,37.0,16.6
SA1,2000-01-05 16:30:00,1358.70167,54.16,0.0,20.8,38.0,22.3
SA1,2000-01-05 17:00:00,1361.31667,54.16,0.0,20.3,40.0,24.1
SA1,2000-01-05 17:30:00,1345.65333,39.51,0.0,20.1,41.0,20.5
SA1,2000-01-05 18:00:00,1310.21333,39.51,0.0,19.6,41.0,22.3
SA1,2000-01-05 18:30:00,1284.74833,28.79,0.0,19.5,45.0,18.4
SA1,2000-01-05 19:00:00,1249.245,15.5,0.0,18.8,48.0,16.6
SA1,2000-01-05 19:30:00,1225.81,15.17,0.0,18.1,50.0,24.1
SA1,2000-01-05 20:00:00,1230.65,15.48,0.0,17.2,52.0,20.5
SA1,2000-01-05 20:30:00,1276.99833,26.28,0.0,16.1,60.0,22.3
SA1,2000-01-05 21:00:00,1289.53,36.5,0.0,15.4,64.0,20.5
SA1,2000-01-05 21:30:00,1277.61333,27.35,0.0,15.0,67.0,16.6
SA1,2000-01-05 22:00:00,1269.085,20.59,0.0,14.9,68.0,16.6
SA1,2000-01-05 22:30:00,1247.67667,16.36,0.0,14.7,68.0,16.6
SA1,2000-01-05 23:00:00,1262.24667,19.44,0.0,14.4,71.0,11.2
SA1,2000-01-05 23:30:00,1299.17333,36.09,0.0,14.3,73.0,9.4
SA1,2000-01-06 00:00:00,1360.71167,39.51,0.0,14.2,74.0,11.2
SA1,2000-01-06 00:30:00,1367.425,39.51,0.0,14.2,74.0,9.4
SA1,2000-01-06 01:00:00,1393.41,39.83,0.0,14.4,72.0,13.0
SA1,2000-01-06 01:30:00,1311.61667,33.05,0.0,14.4,72.0,14.8
SA1,2000-01-06 02:00:00,1218.32333,22.21,0.0,14.5,70.0,18.4
SA1,2000-01-06 02:30:00,1139.92167,13.69,0.0,14.6,70.0,22.3
SA1,2000-01-06 03:00:00,1081.38667,10.14,0.0,14.5,70.0,22.3
SA1,2000-01-06 03:30:00,1034.84167,8.23,0.0,14.3,68.0,20.5
SA1,2000-01-06 04:00:00,1020.12333,9.63,0.0,14.0,67.0,18.4
SA1,2000-01-06 04:30:00,1033.44167,14.13,0.0,13.7,68.0,13.0
SA1,2000-01-06 05:00:00,1051.235,13.83,0.0,13.6,67.0,11.2
SA1,2000-01-06 05:30:00,1063.74333,14.25,0.0,13.4,69.0,7.6
SA1,2000-01-06 06:00:00,1087.38333,14.94,0.0,13.3,70.0,13.0
