Total Demand,predicted_demand,percentage_error,within_2_percent
4306.185,6921.200000000001,60.72695436912255,False
4222.25667,6864.000000000001,62.56709471904277,False
4192.94833,6864.000000000001,63.703424411147004,False
4257.15,6578.000000000001,54.51651926758515,False
4333.90333,6578.000000000001,51.78003520443084,False
4321.54167,6292.000000000001,45.5961895190982,False
4189.25833,6292.000000000001,50.19365014904682,False
4085.26333,5948.800000000001,45.61607219576714,False
4021.36833,5948.800000000001,47.9297470868579,False
4015.88833,5948.800000000001,48.13160902808273,False
4487.31667,5948.800000000001,32.56920421441977,False
4520.08333,5605.6,24.015412786648778,False
4381.36667,5605.6,27.94181410066736,False
4251.52167,5491.2,29.158461986623248,False
4563.49167,5491.2,20.32891472331754,False
4437.59333,5376.8,21.164775592449356,False
4201.53333,5376.8,27.972327664481476,False
4024.945,5262.400000000001,30.744643715628424,False
3883.56833,5262.400000000001,35.50424642586372,False
3791.38167,5148.0,35.78163445623241,False
3772.65667,5148.0,36.45556567436072,False
3822.75,5148.0,34.66745144202472,False
3988.8,5148.0,29.061371841155232,False
4148.55833,5720.0,37.879223214393136,False
4374.88667,5720.0,30.746243993561556,False
4621.74167,6292.000000000001,36.13915379221099,False
4572.19333,6292.000000000001,37.61447834490412,False
4633.435,6635.200000000001,43.202613180070514,False
4729.725,6635.200000000001,40.28722600151172,False
4763.65167,6635.200000000001,39.2881020622568,False
4815.13667,6635.200000000001,37.79878858557925,False
4800.45,6635.200000000001,38.22037517316087,False
4853.08,6635.200000000001,36.721422272041686,False
4883.64667,6635.200000000001,35.86568497593624,False
4845.285,6635.200000000001,36.94137702942141,False
4836.23833,6635.200000000001,37.19753964234431,False
4826.44167,6635.200000000001,37.47602174999456,False
4797.32333,6635.200000000001,38.310460721020455,False
4790.59833,6635.200000000001,38.50461973504677,False
4786.49667,6635.200000000001,38.62330755575351,False
4838.41667,6806.800000000001,40.68238566977328,False
4888.0,6806.800000000001,39.25531914893619,False
4918.15,6864.000000000001,39.56467370860997,False
4861.535,6864.000000000001,41.18997394855742,False
