Total Demand,predicted_demand,percentage_error,within_5_percent
4729.725,6635.200000000001,40.28722600151172,False
4763.65167,6635.200000000001,39.2881020622568,False
4815.13667,6635.200000000001,37.79878858557925,False
4800.45,6635.200000000001,38.22037517316087,False
4853.08,6635.200000000001,36.721422272041686,False
4883.64667,6635.200000000001,35.86568497593624,False
4845.285,6635.200000000001,36.94137702942141,False
4836.23833,6635.200000000001,37.19753964234431,False
4826.44167,6635.200000000001,37.47602174999456,False
4797.32333,6635.200000000001,38.310460721020455,False
4790.59833,6635.200000000001,38.50461973504677,False
4786.49667,6635.200000000001,38.62330755575351,False
4838.41667,6806.800000000001,40.68238566977328,False
4888.0,6806.800000000001,39.25531914893619,False
4918.15,6864.000000000001,39.56467370860997,False
4861.535,6864.000000000001,41.18997394855742,False
4794.28333,6921.200000000001,44.36359980418597,False
4665.27,6921.200000000001,48.35582935178457,False
4592.83167,6864.000000000001,49.45028455615056,False
4597.385,6864.000000000001,49.30226639709314,False
4629.91,6578.000000000001,42.076195865578406,False
4610.88167,6578.000000000001,42.66252033312322,False
4528.82333,6292.000000000001,38.93233499130558,False
4401.08333,6292.000000000001,42.964800441531295,False
4268.8,5948.800000000001,39.355322338830604,False
4153.85167,5948.800000000001,43.21166167206931,False
4112.785,5948.800000000001,44.64164793442889,False
4605.96,5948.800000000001,29.15439995136738,False
4592.53,5605.6,22.059082902016986,False
4480.805,5605.6,25.102520640822352,False
4342.18333,5491.2,26.461726340789948,False
4663.67333,5491.2,17.744095939927256,False
4541.715,5376.8,18.386996982417436,False
4335.83167,5376.8,24.008504232361048,False
4143.82,5262.400000000001,26.993933134161257,False
4011.265,5262.400000000001,31.190534656772883,False
3913.095,5148.0,31.55826781614043,False
3901.08167,5148.0,31.963399781886647,False
3935.43167,5148.0,30.811571173842793,False
4118.235,5148.0,25.005008213470102,False
4320.65833,5720.0,32.38723275765246,False
4600.86,5720.0,24.324582795390437,False
4815.99667,6292.000000000001,30.6479308674439,False
4790.42833,6292.000000000001,31.345248619970505,False
4822.40833,6635.200000000001,37.591003207312404,False
4918.13667,6635.200000000001,34.91288358198474,False
4939.12667,6635.200000000001,34.339539018139845,False
4991.93,6635.200000000001,32.91853050824031,False
4995.22833,6635.200000000001,32.830764915204604,False
5000.36833,6635.200000000001,32.694224947225045,False
4986.955,6635.200000000001,33.05113039921156,False
4968.06667,6635.200000000001,33.55698384780332,False
4950.295,6635.200000000001,34.036456413203666,False
4933.14833,6635.200000000001,34.50234122597325,False
